;Etude;Statut
0;ALLTogether1;
1;ALTER-GREF;
2;AMAC;
3;ANDROTELO;
4;ANTIBIONEED;
5;APARR;
6;APL2006;
7;AZA-PLUS;
8;CAALL F01;
9;CAMOVID;
10;Care-Ssc;
11;COMBINATION-LOCK01;
12;CORIMUNO-19;
13;CORTI-CAU;
14;COSMIC;
15;CSF-cSVD-biobank;
16;DIAPREMYF;
17;DREPA-RIC;
18;DYVINE;
19;EFRAIMII;
20;EQUAALL01;
21;ERYTHROSIM;
22;ETOLE;
23;FIBRAPLO;
24;FIRST ALLO MDS;
25;FOCUS;
26;GRAALL-2014;
27;GREEN;
28;GRIIF;
29;HAPLO RESCUE;
30;HAPLO-EMPTY;
31;ICE;
32;INTORETAK;
33;ITAC;
34;JAKAHDI;
35;KADIG 01;
36;KAPKEY;
37;KAPVEC;
38;LORACLOFT;
39;LUBI;
40;MABUL;
41;MAC-HAPLO-MUD;
42;MAGMAT;
43;MARVEL;
44;METIMGAST;
45;MITHRIDATE;
46;MSC-AT-SSC;
47;MSC-LES;
48;NADINA;
49;OPTISAGE;
50;PACIFIC-SLS;
51;PARADISE;
52;PARAMBU;
53;PCL-2;
54;PIC;
55;PIPAC ESTOK 01;
56;PREFIX;
57;PRO-RETRO;
58;RECORDS;
59;RUBI;
60;SHORTCUT;
61;SIRIUS;
62;SONIMEL01;
63;SV7;
64;TAXIF III;
65;TEOREM;
66;TEP PREDICT;
67;THEMA_SALMA;
68;TRIBECA;
69;UPFRONT-MUD;
70;URBA;
71;UVB;
72;VANCALLO;
